"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.pagename","Input.post_id","Input.comment_id","Input.comment","Answer.Language","Answer.question","Approve","Reject"
"3I4E7AFQ2K0BV6YLMT9FSIM9WH8TJZ","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","3WS1NTTKEYDXXFDSV4ZLITOZMMZ0F3","A3CCQGGJFEE0GU","Approved","Sat Oct 07 12:56:26 PDT 2017","Sat Oct 07 12:56:31 PDT 2017","Tue Oct 10 12:56:31 PDT 2017","Sat Oct 07 13:57:44 PDT 2017","","","5","100% (24/24)","100% (24/24)","100% (24/24)","wsj","8304333127_10156668072748128","10156668072748128_1923894017859073","Jacqui Pardea","wsj|8304333127_10156668072748128|10156668072748128_1923894017859073|Jacqui Pardea","5"
"3I4E7AFQ2K0BV6YLMT9FSIM9WH8TJZ","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","3YJ6NA41JBHGQY38VF5WCSHZN1RPJ1","A1DCGB72N1UIPT","Approved","Sat Oct 07 12:55:35 PDT 2017","Sat Oct 07 12:58:09 PDT 2017","Tue Oct 10 12:58:09 PDT 2017","Sat Oct 07 13:57:44 PDT 2017","","","154","100% (64/64)","100% (64/64)","100% (64/64)","wsj","8304333127_10156668072748128","10156668072748128_1923894017859073","Jacqui Pardea","wsj|8304333127_10156668072748128|10156668072748128_1923894017859073|Jacqui Pardea","5"
"3I4E7AFQ2K0BV6YLMT9FSIM9WH8TJZ","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","3Z7EFSHGN9FYRTZT7EYRJ1Q7ZGSCXZ","AMVBZXM810ZMA","Approved","Sat Oct 07 12:57:48 PDT 2017","Sat Oct 07 12:59:45 PDT 2017","Tue Oct 10 12:59:45 PDT 2017","Sat Oct 07 13:57:44 PDT 2017","","","117","100% (61/61)","100% (61/61)","100% (61/61)","wsj","8304333127_10156668072748128","10156668072748128_1923894017859073","Jacqui Pardea","wsj|8304333127_10156668072748128|10156668072748128_1923894017859073|Jacqui Pardea","6"
"31MBOZ6PAOS04FKA3SQ2JNZXCKDCL1","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","34BBWHLWHACAFWG3PJYRSLAV3J5WIR","A3CCQGGJFEE0GU","Approved","Sat Oct 07 12:55:13 PDT 2017","Sat Oct 07 12:55:18 PDT 2017","Tue Oct 10 12:55:18 PDT 2017","Sat Oct 07 13:57:27 PDT 2017","","","5","100% (24/24)","100% (24/24)","100% (24/24)","wsj","8304333127_10156668072748128","10156668072748128_489913654706246","Nice buti naman","wsj|8304333127_10156668072748128|10156668072748128_489913654706246|Nice buti naman","6"
"31MBOZ6PAOS04FKA3SQ2JNZXCKDCL1","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","374TNBHA8BWRLZZMHSLOMKMX51MQYN","AMVBZXM810ZMA","Approved","Sat Oct 07 12:54:59 PDT 2017","Sat Oct 07 12:57:33 PDT 2017","Tue Oct 10 12:57:33 PDT 2017","Sat Oct 07 13:57:27 PDT 2017","","","154","100% (61/61)","100% (61/61)","100% (61/61)","wsj","8304333127_10156668072748128","10156668072748128_489913654706246","Nice buti naman","wsj|8304333127_10156668072748128|10156668072748128_489913654706246|Nice buti naman","6"
"31MBOZ6PAOS04FKA3SQ2JNZXCKDCL1","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","3YZ8UPK3VTN6AP5Y29N4ZUR35YAUCO","A12SMSQ6D5227J","Approved","Sat Oct 07 12:56:02 PDT 2017","Sat Oct 07 12:56:05 PDT 2017","Tue Oct 10 12:56:05 PDT 2017","Sat Oct 07 13:57:27 PDT 2017","","","3","100% (44/44)","100% (44/44)","100% (44/44)","wsj","8304333127_10156668072748128","10156668072748128_489913654706246","Nice buti naman","wsj|8304333127_10156668072748128|10156668072748128_489913654706246|Nice buti naman","6"
"3KL228NDMVN21LIXKEAKUE7XLC0KGG","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","35DR22AR5DLAET3AELNQQYMDT3F3XS","AMVBZXM810ZMA","Approved","Sat Oct 07 12:54:11 PDT 2017","Sat Oct 07 12:55:10 PDT 2017","Tue Oct 10 12:55:10 PDT 2017","Sat Oct 07 13:57:46 PDT 2017","","","59","100% (61/61)","100% (61/61)","100% (61/61)","wsj","8304333127_10156668072748128","10156668072748128_2438650336361009","Johann Papenbrock","wsj|8304333127_10156668072748128|10156668072748128_2438650336361009|Johann Papenbrock","5"
"3KL228NDMVN21LIXKEAKUE7XLC0KGG","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","3I33IC7ZWF39XYZYZBH7NG6NM46A2K","A3CCQGGJFEE0GU","Approved","Sat Oct 07 12:56:31 PDT 2017","Sat Oct 07 12:56:35 PDT 2017","Tue Oct 10 12:56:35 PDT 2017","Sat Oct 07 13:57:46 PDT 2017","","","4","100% (24/24)","100% (24/24)","100% (24/24)","wsj","8304333127_10156668072748128","10156668072748128_2438650336361009","Johann Papenbrock","wsj|8304333127_10156668072748128|10156668072748128_2438650336361009|Johann Papenbrock","5"
"3KL228NDMVN21LIXKEAKUE7XLC0KGG","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","3KXIR214I4HUV9JHQA7GADKNUUA423","A166A2M31CW2C7","Approved","Sat Oct 07 12:54:29 PDT 2017","Sat Oct 07 12:54:41 PDT 2017","Tue Oct 10 12:54:41 PDT 2017","Sat Oct 07 13:57:46 PDT 2017","","","12","58% (14/24)","58% (14/24)","58% (14/24)","wsj","8304333127_10156668072748128","10156668072748128_2438650336361009","Johann Papenbrock","wsj|8304333127_10156668072748128|10156668072748128_2438650336361009|Johann Papenbrock","5"
"34R3P23QHS27WH7PTYB53PDTNJMHW8","3H5SGK4YKNZRAWNQO19WFYER8SO2GL","Evaluating prevalence of personal attacks","Thank you for helping us with our coding task. In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack.","news discussions, facebook comments, classification","$0.10","Sat Oct 07 12:52:13 PDT 2017","3","BatchId:2963695;OriginalHitTemplateId:920937336;","3600","259200","Sat Oct 14 12:52:13 PDT 2017","","","35BLDD71I6YJVX58ZDHH6EU7SN5VZD","AMVBZXM810ZMA","Approved","Sat Oct 07 12:54:17 PDT 2017","Sat Oct 07 12:55:51 PDT 2017","Tue Oct 10 12:55:51 PDT 2017","Sat Oct 07 13:57:30 PDT 2017","","","94","100% (61/61)","100% (61/61)","100% (61/61)","wsj","8304333127_10156668072748128","10156668072748128_1829958440355121","Zihui Lam","wsj|8304333127_10156668072748128|10156668072748128_1829958440355121|Zihui Lam","5"
